year,week,product,price_per_kg,posting_date,spain_dsubgroup,spain_ppl_affected,spain_dcount,spain_no_disaster,egypt_dsubgroup,egypt_ppl_affected,egypt_dcount,egypt_no_disaster,south africa_dsubgroup,south africa_ppl_affected,south africa_dcount,south africa_no_disaster,egypt_tem,egypt_rain,egypt_sunshine,sa_tem,south africa_rain,south africa_sunshine,spain_tem,spain_rain,spain_sunshine,egypt_tariff,sa_tariff,lag_1m,lag_2m,lag_3m,lag_4m,lag_5m,lag_6m,rolling_mean_8w,rolling_std_8w,rolling_mode_8w
2023,8,mandarins,1.2185,2023-02-13,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,24.03673007246377,0.1502717391304348,38624.83875905797,19.674637681159417,2.5793478260869565,34081.47617149758,20.987965838509318,0.7946687370600414,36400.00001552795,0.0,0.0,1.2252,1.1636,0.9876,0.7393,0.8637,0.0,1.1673125,0.044215620472294624,1.0964
2023,9,lemons,1.056,2023-02-20,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,4.0,23.740534420289855,0.1527173913043478,38508.8078442029,19.81376811594203,2.717028985507246,34047.955471014495,20.74702380952381,0.8022256728778469,35969.73623188406,0.0588,0.064,1.1163,1.172,1.2175,1.2374,1.3031,1.0658,1.1695375,0.03250345895054861,1.1163
2023,9,mandarins,1.266,2023-02-20,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,4.0,23.740534420289855,0.1527173913043478,38508.8078442029,19.81376811594203,2.717028985507246,34047.955471014495,20.74702380952381,0.8022256728778469,35969.73623188406,0.0,0.0,1.214,1.1903,1.1514,0.7744,0.8129,0.0,1.1751375,0.0462017839888245,1.0964
2023,9,clementines,0.72,2023-02-20,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,4.0,23.740534420289855,0.1527173913043478,38508.8078442029,19.81376811594203,2.717028985507246,34047.955471014495,20.74702380952381,0.8022256728778469,35969.73623188406,0.0,0.0,1.0515,0.9649,0.9954,1.0563,1.4024,0.0,0.9907,0.04674176398040623,0.9337
2023,9,oranges,0.9514,2023-02-20,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,4.0,23.740534420289855,0.1527173913043478,38508.8078442029,19.81376811594203,2.717028985507246,34047.955471014495,20.74702380952381,0.8022256728778469,35969.73623188406,0.0,0.043,0.890575,0.9744,0.8167,0.771,0.5957,0.5627,0.9212333333333333,0.027535244775761705,0.883
2023,10,mandarins,1.1946,2023-02-27,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,23.475860507246377,0.1539855072463768,38185.34751811594,19.968840579710147,2.367391304347826,34277.09973429952,20.4703933747412,0.8020186335403726,35669.59355072463,0.0,0.0,1.2037,1.1981,1.1053,1.2053,0.7781,0.9931,1.1874375,0.0384139602716252,1.0964
2023,10,clementines,0.9,2023-02-27,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,23.475860507246377,0.1539855072463768,38185.34751811594,19.968840579710147,2.367391304347826,34277.09973429952,20.4703933747412,0.8020186335403726,35669.59355072463,0.0,0.0,0.9928,0.9831,0.94,1.0507,1.2107,0.0,0.9973000000000001,0.042666995441441626,0.9337
2023,10,oranges,0.950175,2023-02-27,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,23.475860507246377,0.1539855072463768,38185.34751811594,19.968840579710147,2.367391304347826,34277.09973429952,20.4703933747412,0.8020186335403726,35669.59355072463,0.0,0.043,0.884475,0.883,0.9345,0.75715,0.5957,0.5627,0.9149802083333334,0.029427613914833246,0.883
2023,10,lemons,0.9982,2023-02-27,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,23.475860507246377,0.1539855072463768,38185.34751811594,19.968840579710147,2.367391304347826,34277.09973429952,20.4703933747412,0.8020186335403726,35669.59355072463,0.0588,0.064,1.0943,1.1648,1.2192,1.2411,1.3079,1.0867,1.153925,0.03481399682598936,1.0943
2023,11,oranges,0.975275,2023-03-06,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,23.254532967032965,0.1556776556776556,37886.01961538462,20.197863247863246,2.4101343101343105,34456.55142857143,20.10371533228676,0.8169544740973312,35247.25026164312,0.0,0.043,0.905575,0.917675,0.9426666666666668,0.7016333333333332,0.5957,0.6037,0.91034375,0.027563154045527893,0.883
