year,weekNumber,location,price_per_kg,product,variety,description
2006,7,Spain,0.4961,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2006,7,Spain,0.4696,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2006,7,Spain,0.5506,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2006,7,Spain,0.592,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2006,7,Spain,0.4505,oranges,navel,Spain - oranges - navel
2006,6,European Union,0.4625,oranges,navel,European Union - oranges - navel
2006,6,European Union,0.5245,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2006,6,European Union,0.5908,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2006,6,European Union,0.5345,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2006,6,European Union,0.6433,oranges,Tarocco - Cat. I - Cal. 2-4,European Union - oranges - Tarocco - Cat. I - Cal. 2-4
2006,6,European Union,0.55,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2006,6,Italy,0.575,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2006,6,Italy,0.6433,oranges,Tarocco - Cat. I - Cal. 2-4,Italy - oranges - Tarocco - Cat. I - Cal. 2-4
2006,6,Italy,0.42,mandarins,Cat. I - Cal. 1x-2,Italy - mandarins - Cat. I - Cal. 1x-2
2006,6,Italy,0.3767,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2006,6,Spain,0.55,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2006,6,Spain,0.4929,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2006,6,Spain,0.5857,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2006,6,Spain,0.4625,oranges,navel,Spain - oranges - navel
2006,6,Spain,0.5535,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2006,5,European Union,0.4435,oranges,navel,European Union - oranges - navel
2006,5,European Union,0.6433,oranges,Tarocco - Cat. I - Cal. 2-4,European Union - oranges - Tarocco - Cat. I - Cal. 2-4
2006,5,European Union,0.5258,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2006,5,European Union,0.5482,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2006,5,European Union,0.5729,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2006,5,European Union,0.5413,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2006,5,Italy,0.42,mandarins,Cat. I - Cal. 1x-2,Italy - mandarins - Cat. I - Cal. 1x-2
2006,5,Italy,0.46,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2006,5,Italy,0.57,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2006,5,Italy,0.6433,oranges,Tarocco - Cat. I - Cal. 2-4,Italy - oranges - Tarocco - Cat. I - Cal. 2-4
2006,5,Spain,0.5748,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2006,5,Spain,0.5482,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2006,5,Spain,0.5677,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2006,5,Spain,0.4988,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2006,5,Spain,0.4435,oranges,navel,Spain - oranges - navel
2006,4,European Union,0.5674,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2006,4,European Union,0.4255,oranges,navel,European Union - oranges - navel
2006,4,European Union,0.5811,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2006,4,European Union,0.5062,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2006,4,European Union,0.66,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2006,4,Spain,0.5674,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2006,4,Spain,0.5047,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2006,4,Spain,0.4255,oranges,navel,Spain - oranges - navel
2006,4,Spain,0.5811,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2006,4,Spain,0.569,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2006,3,European Union,0.5913,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2006,3,European Union,0.521,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2006,3,European Union,0.3959,oranges,navel,European Union - oranges - navel
2006,3,European Union,0.6167,oranges,Tarocco - Cat. I - Cal. 2-4,European Union - oranges - Tarocco - Cat. I - Cal. 2-4
2006,3,European Union,0.5434,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2006,3,European Union,0.5653,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2006,3,Greece,0.27,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
2006,3,Greece,0.24,oranges,navel,Greece - oranges - navel
2006,3,Italy,0.45,mandarins,Cat. I - Cal. 1x-2,Italy - mandarins - Cat. I - Cal. 1x-2
2006,3,Italy,0.585,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2006,3,Italy,0.6167,oranges,Tarocco - Cat. I - Cal. 2-4,Italy - oranges - Tarocco - Cat. I - Cal. 2-4
2006,3,Italy,0.4633,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2006,3,Spain,0.4511,oranges,navel,Spain - oranges - navel
2006,3,Spain,0.5532,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2006,3,Spain,0.5543,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2006,3,Spain,0.5498,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2006,3,Spain,0.5913,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2006,2,European Union,0.5957,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2006,2,European Union,0.635,oranges,Tarocco - Cat. I - Cal. 2-4,European Union - oranges - Tarocco - Cat. I - Cal. 2-4
2006,2,European Union,0.5974,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2006,2,European Union,0.5959,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2006,2,European Union,0.3971,oranges,navel,European Union - oranges - navel
2006,2,European Union,0.5285,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2006,2,Greece,0.2357,oranges,navel,Greece - oranges - navel
2006,2,Greece,0.27,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
2006,2,Italy,0.48,mandarins,Cat. I - Cal. 1x-2,Italy - mandarins - Cat. I - Cal. 1x-2
2006,2,Italy,0.6,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2006,2,Italy,0.4633,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2006,2,Italy,0.635,oranges,Tarocco - Cat. I - Cal. 2-4,Italy - oranges - Tarocco - Cat. I - Cal. 2-4
2006,2,Spain,0.4543,oranges,navel,Spain - oranges - navel
2006,2,Spain,0.5958,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2006,2,Spain,0.5957,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2006,2,Spain,0.5601,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2006,2,Spain,0.5728,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2006,1,European Union,0.3828,oranges,navel,European Union - oranges - navel
2006,1,European Union,0.7076,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2006,1,European Union,0.615,oranges,Tarocco - Cat. I - Cal. 2-4,European Union - oranges - Tarocco - Cat. I - Cal. 2-4
